age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
58,management,married,tertiary,no,yes,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
33,entrepreneur,married,secondary,no,yes,yes,telephone,may,mon,76,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,blue-collar,married,unknown,no,yes,no,telephone,may,mon,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,unknown,single,unknown,no,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,management,married,tertiary,no,yes,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
28,management,single,tertiary,no,yes,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,entrepreneur,divorced,tertiary,yes,no,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,retired,married,primary,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
41,admin.,divorced,secondary,no,yes,no,telephone,may,mon,241,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,admin.,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,technician,married,secondary,no,yes,no,telephone,may,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
58,technician,married,unknown,no,yes,no,telephone,may,mon,40,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
51,retired,married,primary,no,yes,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,admin.,single,unknown,no,no,no,telephone,may,mon,240,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
38,services,married,secondary,no,yes,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,admin.,married,tertiary,no,yes,no,cellular,aug,thu,189,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32,blue-collar,single,primary,no,no,no,cellular,jul,thu,87,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,admin.,married,tertiary,no,yes,no,cellular,jul,thu,348,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
41,technician,married,secondary,no,yes,no,cellular,jul,thu,169,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
38,entrepreneur,single,tertiary,no,no,no,cellular,jul,thu,273,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
31,admin.,single,secondary,no,no,no,cellular,jul,thu,89,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
35,blue-collar,married,secondary,no,yes,no,cellular,jul,thu,130,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,technician,married,tertiary,no,yes,no,cellular,jul,thu,208,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,services,married,secondary,no,yes,no,cellular,jul,thu,83,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
43,technician,single,secondary,no,no,no,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
